,FIPS,ST,COUNTY
1890,36091,NY,Saratoga County
1891,36093,NY,Schenectady County
1892,36095,NY,Schoharie County
1893,36097,NY,Schuyler County
1894,36099,NY,Seneca County
1895,36101,NY,Steuben County
1896,36103,NY,Suffolk County
1897,36105,NY,Sullivan County
1898,36107,NY,Tioga County
1899,36109,NY,Tompkins County
1900,36111,NY,Ulster County
1901,36113,NY,Warren County
1902,36115,NY,Washington County
1903,36117,NY,Wayne County
1904,36119,NY,Westchester County
1905,36121,NY,Wyoming County
1906,36123,NY,Yates County
1907,37001,NC,Alamance County
1908,37003,NC,Alexander County
1909,37005,NC,Alleghany County
1910,37007,NC,Anson County
1911,37009,NC,Ashe County
1912,37011,NC,Avery County
1913,37013,NC,Beaufort County
1914,37015,NC,Bertie County
1915,37017,NC,Bladen County
1916,37019,NC,Brunswick County
1917,37021,NC,Buncombe County
1918,37023,NC,Burke County
1919,37025,NC,Cabarrus County
1920,37027,NC,Caldwell County
1921,37029,NC,Camden County
1922,37031,NC,Carteret County
1923,37033,NC,Caswell County
1924,37035,NC,Catawba County
1925,37037,NC,Chatham County
1926,37039,NC,Cherokee County
1927,37041,NC,Chowan County
1928,37043,NC,Clay County
1929,37045,NC,Cleveland County
1930,37047,NC,Columbus County
1931,37049,NC,Craven County
1932,37051,NC,Cumberland County
1933,37053,NC,Currituck County
1934,37055,NC,Dare County
1935,37057,NC,Davidson County
1936,37059,NC,Davie County
1937,37061,NC,Duplin County
1938,37063,NC,Durham County
1939,37065,NC,Edgecombe County
1940,37067,NC,Forsyth County
1941,37069,NC,Franklin County
1942,37071,NC,Gaston County
1943,37073,NC,Gates County
1944,37075,NC,Graham County
1945,37077,NC,Granville County
1946,37079,NC,Greene County
1947,37081,NC,Guilford County
1948,37083,NC,Halifax County
1949,37085,NC,Harnett County
1950,37087,NC,Haywood County
1951,37089,NC,Henderson County
1952,37091,NC,Hertford County
1953,37093,NC,Hoke County
1954,37095,NC,Hyde County
1955,37097,NC,Iredell County
1956,37099,NC,Jackson County
1957,37101,NC,Johnston County
1958,37103,NC,Jones County
1959,37105,NC,Lee County
1960,37107,NC,Lenoir County
1961,37109,NC,Lincoln County
1962,37111,NC,McDowell County
1963,37113,NC,Macon County
1964,37115,NC,Madison County
1965,37117,NC,Martin County
1966,37119,NC,Mecklenburg County
1967,37121,NC,Mitchell County
1968,37123,NC,Montgomery County
1969,37125,NC,Moore County
1970,37127,NC,Nash County
1971,37129,NC,New Hanover County
1972,37131,NC,Northampton County
1973,37133,NC,Onslow County
1974,37135,NC,Orange County
1975,37137,NC,Pamlico County
1976,37139,NC,Pasquotank County
1977,37141,NC,Pender County
1978,37143,NC,Perquimans County
1979,37145,NC,Person County
1980,37147,NC,Pitt County
1981,37149,NC,Polk County
1982,37151,NC,Randolph County
1983,37153,NC,Richmond County
1984,37155,NC,Robeson County
1985,37157,NC,Rockingham County
1986,37159,NC,Rowan County
1987,37161,NC,Rutherford County
1988,37163,NC,Sampson County
1989,37165,NC,Scotland County
1990,37167,NC,Stanly County
1991,37169,NC,Stokes County
1992,37171,NC,Surry County
1993,37173,NC,Swain County
1994,37175,NC,Transylvania County
1995,37177,NC,Tyrrell County
1996,37179,NC,Union County
1997,37181,NC,Vance County
1998,37183,NC,Wake County
1999,37185,NC,Warren County
2000,37187,NC,Washington County
2001,37189,NC,Watauga County
2002,37191,NC,Wayne County
2003,37193,NC,Wilkes County
2004,37195,NC,Wilson County
2005,37197,NC,Yadkin County
2006,37199,NC,Yancey County
2007,38001,ND,Adams County
2008,38003,ND,Barnes County
2009,38005,ND,Benson County
2010,38007,ND,Billings County
2011,38009,ND,Bottineau County
2012,38011,ND,Bowman County
2013,38013,ND,Burke County
2014,38015,ND,Burleigh County
2015,38017,ND,Cass County
2016,38019,ND,Cavalier County
2017,38021,ND,Dickey County
2018,38023,ND,Divide County
2019,38025,ND,Dunn County
2020,38027,ND,Eddy County
2021,38029,ND,Emmons County
2022,38031,ND,Foster County
2023,38033,ND,Golden Valley County
2024,38035,ND,Grand Forks County
2025,38037,ND,Grant County
2026,38039,ND,Griggs County
2027,38041,ND,Hettinger County
2028,38043,ND,Kidder County
2029,38045,ND,LaMoure County
2030,38047,ND,Logan County
2031,38049,ND,McHenry County
2032,38051,ND,McIntosh County
2033,38053,ND,McKenzie County
2034,38055,ND,McLean County
2035,38057,ND,Mercer County
2036,38059,ND,Morton County
2037,38061,ND,Mountrail County
2038,38063,ND,Nelson County
2039,38065,ND,Oliver County
2040,38067,ND,Pembina County
2041,38069,ND,Pierce County
2042,38071,ND,Ramsey County
2043,38073,ND,Ransom County
2044,38075,ND,Renville County
2045,38077,ND,Richland County
2046,38079,ND,Rolette County
2047,38081,ND,Sargent County
2048,38083,ND,Sheridan County
2049,38085,ND,Sioux County
2050,38087,ND,Slope County
2051,38089,ND,Stark County
2052,38091,ND,Steele County
2053,38093,ND,Stutsman County
2054,38095,ND,Towner County
2055,38097,ND,Traill County
2056,38099,ND,Walsh County
2057,38101,ND,Ward County
2058,38103,ND,Wells County
2059,38105,ND,Williams County
2060,39001,OH,Adams County
2061,39003,OH,Allen County
2062,39005,OH,Ashland County
2063,39007,OH,Ashtabula County
2064,39009,OH,Athens County
2065,39011,OH,Auglaize County
2066,39013,OH,Belmont County
2067,39015,OH,Brown County
2068,39017,OH,Butler County
2069,39019,OH,Carroll County
2070,39021,OH,Champaign County
2071,39023,OH,Clark County
2072,39025,OH,Clermont County
2073,39027,OH,Clinton County
2074,39029,OH,Columbiana County
2075,39031,OH,Coshocton County
2076,39033,OH,Crawford County
2077,39035,OH,Cuyahoga County
2078,39037,OH,Darke County
2079,39039,OH,Defiance County
2080,39041,OH,Delaware County
2081,39043,OH,Erie County
2082,39045,OH,Fairfield County
2083,39047,OH,Fayette County
2084,39049,OH,Franklin County
2085,39051,OH,Fulton County
2086,39053,OH,Gallia County
2087,39055,OH,Geauga County
2088,39057,OH,Greene County
2089,39059,OH,Guernsey County
2090,39061,OH,Hamilton County
2091,39063,OH,Hancock County
2092,39065,OH,Hardin County
2093,39067,OH,Harrison County
2094,39069,OH,Henry County
2095,39071,OH,Highland County
2096,39073,OH,Hocking County
2097,39075,OH,Holmes County
2098,39077,OH,Huron County
2099,39079,OH,Jackson County
2100,39081,OH,Jefferson County
2101,39083,OH,Knox County
2102,39085,OH,Lake County
2103,39087,OH,Lawrence County
2104,39089,OH,Licking County
2105,39091,OH,Logan County
2106,39093,OH,Lorain County
2107,39095,OH,Lucas County
2108,39097,OH,Madison County
2109,39099,OH,Mahoning County
2110,39101,OH,Marion County
2111,39103,OH,Medina County
2112,39105,OH,Meigs County
2113,39107,OH,Mercer County
2114,39109,OH,Miami County
2115,39111,OH,Monroe County
2116,39113,OH,Montgomery County
2117,39115,OH,Morgan County
2118,39117,OH,Morrow County
2119,39119,OH,Muskingum County
2120,39121,OH,Noble County
2121,39123,OH,Ottawa County
2122,39125,OH,Paulding County
2123,39127,OH,Perry County
2124,39129,OH,Pickaway County
2125,39131,OH,Pike County
2126,39133,OH,Portage County
2127,39135,OH,Preble County
2128,39137,OH,Putnam County
2129,39139,OH,Richland County
2130,39141,OH,Ross County
2131,39143,OH,Sandusky County
2132,39145,OH,Scioto County
2133,39147,OH,Seneca County
2134,39149,OH,Shelby County
2135,39151,OH,Stark County
2136,39153,OH,Summit County
2137,39155,OH,Trumbull County
2138,39157,OH,Tuscarawas County
2139,39159,OH,Union County
2140,39161,OH,Van Wert County
2141,39163,OH,Vinton County
2142,39165,OH,Warren County
2143,39167,OH,Washington County
2144,39169,OH,Wayne County
2145,39171,OH,Williams County
2146,39173,OH,Wood County
2147,39175,OH,Wyandot County
2148,40001,OK,Adair County
2149,40003,OK,Alfalfa County
2150,40005,OK,Atoka County
2151,40007,OK,Beaver County
2152,40009,OK,Beckham County
2153,40011,OK,Blaine County
2154,40013,OK,Bryan County
2155,40015,OK,Caddo County
2156,40017,OK,Canadian County
2157,40019,OK,Carter County
2158,40021,OK,Cherokee County
2159,40023,OK,Choctaw County
2160,40025,OK,Cimarron County
2161,40027,OK,Cleveland County
2162,40029,OK,Coal County
2163,40031,OK,Comanche County
2164,40033,OK,Cotton County
2165,40035,OK,Craig County
2166,40037,OK,Creek County
2167,40039,OK,Custer County
2168,40041,OK,Delaware County
2169,40043,OK,Dewey County
2170,40045,OK,Ellis County
2171,40047,OK,Garfield County
2172,40049,OK,Garvin County
2173,40051,OK,Grady County
2174,40053,OK,Grant County
2175,40055,OK,Greer County
2176,40057,OK,Harmon County
2177,40059,OK,Harper County
2178,40061,OK,Haskell County
2179,40063,OK,Hughes County
2180,40065,OK,Jackson County
2181,40067,OK,Jefferson County
2182,40069,OK,Johnston County
2183,40071,OK,Kay County
2184,40073,OK,Kingfisher County
2185,40075,OK,Kiowa County
2186,40077,OK,Latimer County
2187,40079,OK,Le Flore County
2188,40081,OK,Lincoln County
2189,40083,OK,Logan County
2190,40085,OK,Love County
2191,40087,OK,McClain County
2192,40089,OK,McCurtain County
2193,40091,OK,McIntosh County
2194,40093,OK,Major County
2195,40095,OK,Marshall County
2196,40097,OK,Mayes County
2197,40099,OK,Murray County
2198,40101,OK,Muskogee County
2199,40103,OK,Noble County
2200,40105,OK,Nowata County
2201,40107,OK,Okfuskee County
2202,40109,OK,Oklahoma County
2203,40111,OK,Okmulgee County
2204,40113,OK,Osage County
2205,40115,OK,Ottawa County
2206,40117,OK,Pawnee County
2207,40119,OK,Payne County
2208,40121,OK,Pittsburg County
2209,40123,OK,Pontotoc County
2210,40125,OK,Pottawatomie County
2211,40127,OK,Pushmataha County
2212,40129,OK,Roger Mills County
2213,40131,OK,Rogers County
2214,40133,OK,Seminole County
2215,40135,OK,Sequoyah County
2216,40137,OK,Stephens County
2217,40139,OK,Texas County
2218,40141,OK,Tillman County
2219,40143,OK,Tulsa County
2220,40145,OK,Wagoner County
2221,40147,OK,Washington County
2222,40149,OK,Washita County
2223,40151,OK,Woods County
2224,40153,OK,Woodward County
2225,41001,OR,Baker County
2226,41003,OR,Benton County
2227,41005,OR,Clackamas County
2228,41007,OR,Clatsop County
2229,41009,OR,Columbia County
2230,41011,OR,Coos County
2231,41013,OR,Crook County
2232,41015,OR,Curry County
2233,41017,OR,Deschutes County
2234,41019,OR,Douglas County
2235,41021,OR,Gilliam County
2236,41023,OR,Grant County
2237,41025,OR,Harney County
2238,41027,OR,Hood River County
2239,41029,OR,Jackson County
2240,41031,OR,Jefferson County
2241,41033,OR,Josephine County
2242,41035,OR,Klamath County
2243,41037,OR,Lake County
2244,41039,OR,Lane County
2245,41041,OR,Lincoln County
2246,41043,OR,Linn County
2247,41045,OR,Malheur County
2248,41047,OR,Marion County
2249,41049,OR,Morrow County
2250,41051,OR,Multnomah County
2251,41053,OR,Polk County
2252,41055,OR,Sherman County
2253,41057,OR,Tillamook County
2254,41059,OR,Umatilla County
2255,41061,OR,Union County
2256,41063,OR,Wallowa County
2257,41065,OR,Wasco County
2258,41067,OR,Washington County
2259,41069,OR,Wheeler County
2260,41071,OR,Yamhill County
2261,42001,PA,Adams County
2262,42003,PA,Allegheny County
2263,42005,PA,Armstrong County
2264,42007,PA,Beaver County
2265,42009,PA,Bedford County
2266,42011,PA,Berks County
2267,42013,PA,Blair County
2268,42015,PA,Bradford County
2269,42017,PA,Bucks County
2270,42019,PA,Butler County
2271,42021,PA,Cambria County
2272,42023,PA,Cameron County
2273,42025,PA,Carbon County
2274,42027,PA,Centre County
2275,42029,PA,Chester County
2276,42031,PA,Clarion County
2277,42033,PA,Clearfield County
2278,42035,PA,Clinton County
2279,42037,PA,Columbia County
2280,42039,PA,Crawford County
2281,42041,PA,Cumberland County
2282,42043,PA,Dauphin County
2283,42045,PA,Delaware County
2284,42047,PA,Elk County
2285,42049,PA,Erie County
2286,42051,PA,Fayette County
2287,42053,PA,Forest County
2288,42055,PA,Franklin County
2289,42057,PA,Fulton County
2290,42059,PA,Greene County
2291,42061,PA,Huntingdon County
2292,42063,PA,Indiana County
2293,42065,PA,Jefferson County
2294,42067,PA,Juniata County
2295,42069,PA,Lackawanna County
2296,42071,PA,Lancaster County
2297,42073,PA,Lawrence County
2298,42075,PA,Lebanon County
2299,42077,PA,Lehigh County
2300,42079,PA,Luzerne County
2301,42081,PA,Lycoming County
2302,42083,PA,McKean County
2303,42083,PA,Mc Kean County
2304,42085,PA,Mercer County
2305,42087,PA,Mifflin County
2306,42089,PA,Monroe County
2307,42091,PA,Montgomery County
2308,42093,PA,Montour County
2309,42095,PA,Northampton County
2310,42097,PA,Northumberland County
2311,42099,PA,Perry County
2312,42101,PA,Philadelphia County
2313,42103,PA,Pike County
2314,42105,PA,Potter County
2315,42107,PA,Schuylkill County
2316,42109,PA,Snyder County
2317,42111,PA,Somerset County
2318,42113,PA,Sullivan County
2319,42115,PA,Susquehanna County
2320,42117,PA,Tioga County
2321,42119,PA,Union County
2322,42121,PA,Venango County
2323,42123,PA,Warren County
2324,42125,PA,Washington County
2325,42127,PA,Wayne County
2326,42129,PA,Westmoreland County
2327,42131,PA,Wyoming County
2328,42133,PA,York County
2329,44001,RI,Bristol County
2330,44003,RI,Kent County
2331,44005,RI,Newport County
2332,44007,RI,Providence County
2333,44009,RI,Washington County
2334,45001,SC,Abbeville County
2335,45003,SC,Aiken County
2336,45005,SC,Allendale County
2337,45007,SC,Anderson County
2338,45009,SC,Bamberg County
2339,45011,SC,Barnwell County
2340,45013,SC,Beaufort County
2341,45015,SC,Berkeley County
2342,45017,SC,Calhoun County
2343,45019,SC,Charleston County
2344,45021,SC,Cherokee County
2345,45023,SC,Chester County
2346,45025,SC,Chesterfield County
2347,45027,SC,Clarendon County
2348,45029,SC,Colleton County
2349,45031,SC,Darlington County
2350,45033,SC,Dillon County
2351,45035,SC,Dorchester County
2352,45037,SC,Edgefield County
2353,45039,SC,Fairfield County
2354,45041,SC,Florence County
2355,45043,SC,Georgetown County
2356,45045,SC,Greenville County
2357,45047,SC,Greenwood County
2358,45049,SC,Hampton County
2359,45051,SC,Horry County
2360,45053,SC,Jasper County
2361,45055,SC,Kershaw County
2362,45057,SC,Lancaster County
2363,45059,SC,Laurens County
2364,45061,SC,Lee County
2365,45063,SC,Lexington County
2366,45065,SC,McCormick County
2367,45067,SC,Marion County
2368,45069,SC,Marlboro County
2369,45071,SC,Newberry County
2370,45073,SC,Oconee County
2371,45075,SC,Orangeburg County
2372,45077,SC,Pickens County
2373,45079,SC,Richland County
2374,45081,SC,Saluda County
2375,45083,SC,Spartanburg County
2376,45085,SC,Sumter County
2377,45087,SC,Union County
2378,45089,SC,Williamsburg County
2379,45091,SC,York County
2380,46003,SD,Aurora County
2381,46005,SD,Beadle County
2382,46007,SD,Bennett County
2383,46009,SD,Bon Homme County
2384,46011,SD,Brookings County
2385,46013,SD,Brown County
2386,46015,SD,Brule County
2387,46017,SD,Buffalo County
2388,46019,SD,Butte County
2389,46021,SD,Campbell County
2390,46023,SD,Charles Mix County
2391,46025,SD,Clark County
2392,46027,SD,Clay County
2393,46029,SD,Codington County
2394,46031,SD,Corson County
2395,46033,SD,Custer County
2396,46035,SD,Davison County
2397,46037,SD,Day County
2398,46039,SD,Deuel County
2399,46041,SD,Dewey County
2400,46043,SD,Douglas County
2401,46045,SD,Edmunds County
2402,46047,SD,Fall River County
2403,46049,SD,Faulk County
2404,46051,SD,Grant County
2405,46053,SD,Gregory County
2406,46055,SD,Haakon County
2407,46057,SD,Hamlin County
2408,46059,SD,Hand County
2409,46061,SD,Hanson County
2410,46063,SD,Harding County
2411,46065,SD,Hughes County
2412,46067,SD,Hutchinson County
2413,46069,SD,Hyde County
2414,46071,SD,Jackson County
2415,46073,SD,Jerauld County
2416,46075,SD,Jones County
2417,46077,SD,Kingsbury County
2418,46079,SD,Lake County
2419,46081,SD,Lawrence County
2420,46083,SD,Lincoln County
2421,46085,SD,Lyman County
2422,46087,SD,McCook County
2423,46089,SD,McPherson County
2424,46091,SD,Marshall County
2425,46093,SD,Meade County
2426,46095,SD,Mellette County
2427,46097,SD,Miner County
2428,46099,SD,Minnehaha County
2429,46101,SD,Moody County
2430,46103,SD,Pennington County
2431,46105,SD,Perkins County
2432,46107,SD,Potter County
2433,46109,SD,Roberts County
2434,46111,SD,Sanborn County
2435,46113,SD,Shannon County
2436,46115,SD,Spink County
2437,46117,SD,Stanley County
2438,46119,SD,Sully County
2439,46121,SD,Todd County
2440,46123,SD,Tripp County
2441,46125,SD,Turner County
2442,46127,SD,Union County
2443,46129,SD,Walworth County
2444,46135,SD,Yankton County
2445,46137,SD,Ziebach County
2446,47001,TN,Anderson County
2447,47003,TN,Bedford County
2448,47005,TN,Benton County
2449,47007,TN,Bledsoe County
2450,47009,TN,Blount County
2451,47011,TN,Bradley County
2452,47013,TN,Campbell County
2453,47015,TN,Cannon County
2454,47017,TN,Carroll County
2455,47019,TN,Carter County
2456,47021,TN,Cheatham County
2457,47023,TN,Chester County
2458,47025,TN,Claiborne County
2459,47027,TN,Clay County
2460,47029,TN,Cocke County
2461,47031,TN,Coffee County
2462,47033,TN,Crockett County
2463,47035,TN,Cumberland County
2464,47037,TN,Davidson County
2465,47039,TN,Decatur County
2466,47041,TN,De Kalb County
2467,47041,TN,DeKalb County
2468,47043,TN,Dickson County
2469,47045,TN,Dyer County
2470,47047,TN,Fayette County
2471,47049,TN,Fentress County
2472,47051,TN,Franklin County
2473,47053,TN,Gibson County
2474,47055,TN,Giles County
2475,47057,TN,Grainger County
2476,47059,TN,Greene County
2477,47061,TN,Grundy County
2478,47063,TN,Hamblen County
2479,47065,TN,Hamilton County
2480,47067,TN,Hancock County
2481,47069,TN,Hardeman County
2482,47071,TN,Hardin County
2483,47073,TN,Hawkins County
2484,47075,TN,Haywood County
2485,47077,TN,Henderson County
2486,47079,TN,Henry County
2487,47081,TN,Hickman County
2488,47083,TN,Houston County
2489,47085,TN,Humphreys County
2490,47087,TN,Jackson County
2491,47089,TN,Jefferson County
2492,47091,TN,Johnson County
2493,47093,TN,Knox County
2494,47095,TN,Lake County
2495,47097,TN,Lauderdale County
2496,47099,TN,Lawrence County
2497,47101,TN,Lewis County
2498,47103,TN,Lincoln County
2499,47105,TN,Loudon County
2500,47107,TN,McMinn County
2501,47109,TN,McNairy County
2502,47111,TN,Macon County
2503,47113,TN,Madison County
2504,47115,TN,Marion County
2505,47117,TN,Marshall County
2506,47119,TN,Maury County
2507,47121,TN,Meigs County
2508,47123,TN,Monroe County
2509,47125,TN,Montgomery County
2510,47127,TN,Moore County
2511,47129,TN,Morgan County
2512,47131,TN,Obion County
2513,47133,TN,Overton County
2514,47135,TN,Perry County
2515,47137,TN,Pickett County
2516,47139,TN,Polk County
2517,47141,TN,Putnam County
2518,47143,TN,Rhea County
2519,47145,TN,Roane County
2520,47147,TN,Robertson County
2521,47149,TN,Rutherford County
2522,47151,TN,Scott County
2523,47153,TN,Sequatchie County
2524,47155,TN,Sevier County
2525,47157,TN,Shelby County
2526,47159,TN,Smith County
2527,47161,TN,Stewart County
2528,47163,TN,Sullivan County
2529,47165,TN,Sumner County
2530,47167,TN,Tipton County
2531,47169,TN,Trousdale County
2532,47171,TN,Unicoi County
2533,47173,TN,Union County
2534,47175,TN,Van Buren County
2535,47177,TN,Warren County
2536,47179,TN,Washington County
2537,47181,TN,Wayne County
2538,47183,TN,Weakley County
2539,47185,TN,White County
2540,47187,TN,Williamson County
2541,47189,TN,Wilson County
2542,48001,TX,Anderson County
2543,48003,TX,Andrews County
2544,48005,TX,Angelina County
2545,48007,TX,Aransas County
2546,48009,TX,Archer County
2547,48011,TX,Armstrong County
2548,48013,TX,Atascosa County
2549,48015,TX,Austin County
2550,48017,TX,Bailey County
2551,48019,TX,Bandera County
2552,48021,TX,Bastrop County
2553,48023,TX,Baylor County
2554,48025,TX,Bee County
2555,48027,TX,Bell County
2556,48029,TX,Bexar County
2557,48031,TX,Blanco County
2558,48033,TX,Borden County
2559,48035,TX,Bosque County
2560,48037,TX,Bowie County
2561,48039,TX,Brazoria County
2562,48041,TX,Brazos County
2563,48043,TX,Brewster County
2564,48045,TX,Briscoe County
2565,48047,TX,Brooks County
2566,48049,TX,Brown County
2567,48051,TX,Burleson County
2568,48053,TX,Burnet County
2569,48055,TX,Caldwell County
2570,48057,TX,Calhoun County
2571,48059,TX,Callahan County
2572,48061,TX,Cameron County
2573,48063,TX,Camp County
2574,48065,TX,Carson County
2575,48067,TX,Cass County
2576,48069,TX,Castro County
2577,48071,TX,Chambers County
2578,48073,TX,Cherokee County
2579,48075,TX,Childress County
2580,48077,TX,Clay County
2581,48079,TX,Cochran County
2582,48081,TX,Coke County
2583,48083,TX,Coleman County
2584,48085,TX,Collin County
2585,48087,TX,Collingsworth County
2586,48089,TX,Colorado County
2587,48091,TX,Comal County
2588,48093,TX,Comanche County
2589,48095,TX,Concho County
2590,48097,TX,Cooke County
2591,48099,TX,Coryell County
2592,48101,TX,Cottle County
2593,48103,TX,Crane County
2594,48105,TX,Crockett County
2595,48107,TX,Crosby County
2596,48109,TX,Culberson County
2597,48111,TX,Dallam County
2598,48113,TX,Dallas County
2599,48115,TX,Dawson County
2600,48117,TX,Deaf Smith County
2601,48119,TX,Delta County
2602,48121,TX,Denton County
2603,48123,TX,DeWitt County
2604,48125,TX,Dickens County
2605,48127,TX,Dimmit County
2606,48129,TX,Donley County
2607,48131,TX,Duval County
2608,48133,TX,Eastland County
2609,48135,TX,Ector County
2610,48137,TX,Edwards County
2611,48139,TX,Ellis County
2612,48141,TX,El Paso County
2613,48143,TX,Erath County
2614,48145,TX,Falls County
2615,48147,TX,Fannin County
2616,48149,TX,Fayette County
2617,48151,TX,Fisher County
2618,48153,TX,Floyd County
2619,48155,TX,Foard County
2620,48157,TX,Fort Bend County
2621,48159,TX,Franklin County
2622,48161,TX,Freestone County
2623,48163,TX,Frio County
2624,48165,TX,Gaines County
2625,48167,TX,Galveston County
2626,48169,TX,Garza County
2627,48171,TX,Gillespie County
2628,48173,TX,Glasscock County
2629,48175,TX,Goliad County
2630,48177,TX,Gonzales County
2631,48179,TX,Gray County
2632,48181,TX,Grayson County
2633,48183,TX,Gregg County
2634,48185,TX,Grimes County
2635,48187,TX,Guadalupe County
2636,48189,TX,Hale County
2637,48191,TX,Hall County
2638,48193,TX,Hamilton County
2639,48195,TX,Hansford County
2640,48197,TX,Hardeman County
2641,48199,TX,Hardin County
2642,48201,TX,Harris County
2643,48203,TX,Harrison County
2644,48205,TX,Hartley County
2645,48207,TX,Haskell County
2646,48209,TX,Hays County
2647,48211,TX,Hemphill County
2648,48213,TX,Henderson County
2649,48215,TX,Hidalgo County
2650,48217,TX,Hill County
2651,48219,TX,Hockley County
2652,48221,TX,Hood County
2653,48223,TX,Hopkins County
2654,48225,TX,Houston County
2655,48227,TX,Howard County
2656,48229,TX,Hudspeth County
2657,48231,TX,Hunt County
2658,48233,TX,Hutchinson County
2659,48235,TX,Irion County
2660,48237,TX,Jack County
2661,48239,TX,Jackson County
2662,48241,TX,Jasper County
2663,48243,TX,Jeff Davis County
2664,48245,TX,Jefferson County
2665,48247,TX,Jim Hogg County
2666,48249,TX,Jim Wells County
2667,48251,TX,Johnson County
2668,48253,TX,Jones County
2669,48255,TX,Karnes County
2670,48257,TX,Kaufman County
2671,48259,TX,Kendall County
2672,48261,TX,Kenedy County
2673,48263,TX,Kent County
2674,48265,TX,Kerr County
2675,48267,TX,Kimble County
2676,48269,TX,King County
2677,48271,TX,Kinney County
2678,48273,TX,Kleberg County
2679,48275,TX,Knox County
2680,48277,TX,Lamar County
2681,48279,TX,Lamb County
2682,48281,TX,Lampasas County
2683,48283,TX,Lasalle County
2684,48283,TX,La Salle County
2685,48285,TX,Lavaca County
2686,48287,TX,Lee County
2687,48289,TX,Leon County
2688,48291,TX,Liberty County
2689,48293,TX,Limestone County
2690,48295,TX,Lipscomb County
2691,48297,TX,Live Oak County
2692,48299,TX,Llano County
2693,48301,TX,Loving County
2694,48303,TX,Lubbock County
2695,48305,TX,Lynn County
2696,48307,TX,McCulloch County
2697,48309,TX,McLennan County
2698,48311,TX,McMullen County
2699,48313,TX,Madison County
2700,48315,TX,Marion County
2701,48317,TX,Martin County
2702,48319,TX,Mason County
2703,48321,TX,Matagorda County
2704,48323,TX,Maverick County
2705,48325,TX,Medina County
2706,48327,TX,Menard County
2707,48329,TX,Midland County
2708,48331,TX,Milam County
2709,48333,TX,Mills County
2710,48335,TX,Mitchell County
2711,48337,TX,Montague County
2712,48339,TX,Montgomery County
2713,48341,TX,Moore County
2714,48343,TX,Morris County
2715,48345,TX,Motley County
2716,48347,TX,Nacogdoches County
2717,48349,TX,Navarro County
2718,48351,TX,Newton County
2719,48353,TX,Nolan County
2720,48355,TX,Nueces County
2721,48357,TX,Ochiltree County
2722,48359,TX,Oldham County
2723,48361,TX,Orange County
2724,48363,TX,Palo Pinto County
2725,48365,TX,Panola County
2726,48367,TX,Parker County
2727,48369,TX,Parmer County
2728,48371,TX,Pecos County
2729,48373,TX,Polk County
2730,48375,TX,Potter County
2731,48377,TX,Presidio County
2732,48379,TX,Rains County
2733,48381,TX,Randall County
2734,48383,TX,Reagan County
2735,48385,TX,Real County
2736,48387,TX,Red River County
2737,48389,TX,Reeves County
2738,48391,TX,Refugio County
2739,48393,TX,Roberts County
2740,48395,TX,Robertson County
2741,48397,TX,Rockwall County
2742,48399,TX,Runnels County
2743,48401,TX,Rusk County
2744,48403,TX,Sabine County
2745,48405,TX,San Augustine County
2746,48407,TX,San Jacinto County
2747,48409,TX,San Patricio County
2748,48411,TX,San Saba County
2749,48413,TX,Schleicher County
2750,48415,TX,Scurry County
2751,48417,TX,Shackelford County
2752,48419,TX,Shelby County
2753,48421,TX,Sherman County
2754,48423,TX,Smith County
2755,48425,TX,Somervell County
2756,48427,TX,Starr County
2757,48429,TX,Stephens County
2758,48431,TX,Sterling County
2759,48433,TX,Stonewall County
2760,48435,TX,Sutton County
2761,48437,TX,Swisher County
2762,48439,TX,Tarrant County
2763,48441,TX,Taylor County
2764,48443,TX,Terrell County
2765,48445,TX,Terry County
2766,48447,TX,Throckmorton County
2767,48449,TX,Titus County
2768,48451,TX,Tom Green County
2769,48453,TX,Travis County
2770,48455,TX,Trinity County
2771,48457,TX,Tyler County
2772,48459,TX,Upshur County
2773,48461,TX,Upton County
2774,48463,TX,Uvalde County
2775,48465,TX,Val Verde County
2776,48467,TX,Van Zandt County
2777,48469,TX,Victoria County
2778,48471,TX,Walker County
2779,48473,TX,Waller County
2780,48475,TX,Ward County
2781,48477,TX,Washington County
2782,48479,TX,Webb County
2783,48481,TX,Wharton County
2784,48483,TX,Wheeler County
2785,48485,TX,Wichita County
2786,48487,TX,Wilbarger County
2787,48489,TX,Willacy County
2788,48491,TX,Williamson County
2789,48493,TX,Wilson County
2790,48495,TX,Winkler County
2791,48497,TX,Wise County
2792,48499,TX,Wood County
2793,48501,TX,Yoakum County
2794,48503,TX,Young County
2795,48505,TX,Zapata County
2796,48507,TX,Zavala County
2797,49001,UT,Beaver County
2798,49003,UT,Box Elder County
2799,49005,UT,Cache County
2800,49007,UT,Carbon County
2801,49009,UT,Daggett County
2802,49011,UT,Davis County
2803,49013,UT,Duchesne County
2804,49015,UT,Emery County
2805,49017,UT,Garfield County
2806,49019,UT,Grand County
2807,49021,UT,Iron County
2808,49023,UT,Juab County
2809,49025,UT,Kane County
2810,49027,UT,Millard County
2811,49029,UT,Morgan County
2812,49031,UT,Piute County
2813,49033,UT,Rich County
2814,49035,UT,Salt Lake County
2815,49037,UT,San Juan County
2816,49039,UT,Sanpete County
2817,49041,UT,Sevier County
2818,49043,UT,Summit County
2819,49045,UT,Tooele County
2820,49047,UT,Uintah County
2821,49049,UT,Utah County
