,staffed_beds,licensed_beds,icu_beds,FIPS
223,8,25,0,8065
222,94,94,11,8067
224,560,554,43,8069
225,25,25,0,8071
226,15,15,0,8073
227,25,25,4,8075
228,399,454,30,8077
229,25,25,0,8081
230,25,25,4,8083
231,50,75,8,8085
232,61,75,6,8087
233,0,25,0,8089
234,40,40,0,8095
235,25,25,4,8097
236,25,25,0,8099
237,494,1207,17,8101
238,35,35,0,8103
239,17,17,0,8105
240,39,39,4,8107
241,9,15,0,8115
242,34,35,8,8117
243,15,15,0,8119
244,427,581,22,8123
245,30,15,0,8125
246,1789,0,157,9001
247,3278,867,216,9003
248,242,0,21,9005
249,736,0,24,9007
250,2502,0,110,9009
251,419,0,22,9011
252,209,0,16,9013
253,148,0,6,9015
255,414,88,29,10001
256,1956,1448,93,10003
257,507,349,18,10005
254,3077,4143,237,11001
258,2263,1598,66,12001
259,81,1163,0,12003
260,676,722,77,12005
261,25,49,0,12007
262,1867,1685,157,12009
263,5791,6482,525,12011
264,15,25,0,12013
265,595,699,51,12015
266,332,332,40,12017
267,459,503,42,12019
268,1134,982,58,12021
269,456,190,27,12023
270,49,49,8,12027
271,3647,3831,351,12031
272,1384,1648,85,12033
273,99,99,18,12035
274,25,25,0,12037
275,24,949,0,12039
276,19,19,0,12045
277,25,25,0,12049
278,25,25,3,12051
279,670,670,44,12053
280,292,335,38,12055
281,4069,4315,411,12057
282,20,20,0,12059
283,511,566,40,12061
284,66,100,7,12063
285,1060,1100,118,12069
286,1698,1819,141,12071
287,822,1208,50,12073
288,25,25,0,12079
289,867,895,98,12081
290,887,963,110,12083
291,466,478,57,12085
292,9456,9381,540,12086
293,129,143,14,12087
294,54,62,0,12089
295,441,436,51,12091
296,100,100,8,12093
297,5568,4520,334,12095
298,802,955,66,12097
299,4144,4179,389,12099
300,1312,1272,130,12101
301,3475,3923,276,12103
302,1641,1793,127,12105
303,99,99,10,12107
304,335,335,47,12109
305,728,861,54,12111
306,294,355,16,12113
307,1277,1532,118,12115
308,879,934,38,12117
309,40,40,0,12119
310,25,25,0,12121
311,48,48,6,12123
312,145,145,0,12125
313,1514,1574,105,12127
314,112,126,28,12131
315,25,59,0,12133
316,34,49,3,13001
317,25,25,4,13005
318,280,140,12,13009
319,56,56,6,13013
320,119,119,21,13015
321,48,75,5,13017
322,51,63,0,13019
323,992,1142,115,13021
324,15,25,0,13023
325,25,25,0,13027
326,182,189,24,13031
327,40,40,0,13033
328,25,25,0,13035
329,40,40,5,13039
330,25,25,6,13043
331,197,303,18,13045
332,36,19,0,13047
333,1354,1502,62,13051
334,114,105,0,13057
335,564,597,92,13059
336,319,416,34,13063
337,15,25,0,13065
338,1243,1278,81,13067
339,86,88,10,13069
340,127,158,10,13071
341,33,60,0,13075
342,250,186,23,13077
343,65,73,16,13081
344,36,0,0,13083
345,80,80,10,13087
346,1997,2227,278,13089
347,40,94,6,13091
348,657,691,50,13095
349,102,108,8,13097
350,15,25,0,13099
351,25,25,0,13103
352,52,52,4,13105
353,45,72,8,13107
354,49,49,0,13109
355,50,50,5,13111
356,221,221,66,13113
357,435,514,42,13115
358,304,304,24,13117
359,56,56,8,13119
360,3927,4992,519,13121
361,401,401,0,13127
362,69,69,8,13129
363,46,60,4,13131
364,25,25,0,13133
365,945,931,70,13135
366,53,53,4,13137
367,545,657,85,13139
368,15,25,0,13143
369,215,215,0,13151
370,276,276,36,13153
371,34,34,0,13155
372,128,90,0,13157
373,12,17,0,13159
374,25,25,4,13161
375,37,37,0,13163
376,15,25,0,13165
377,25,25,0,13173
378,145,190,16,13175
379,64,25,0,13179
380,377,403,48,13185
381,0,0,0,13187
383,25,25,0,13189
382,22,49,0,13193
384,109,109,0,13199
385,25,25,0,13201
386,25,0,0,13205
387,25,25,0,13207
388,25,25,0,13211
389,29,42,0,13213
390,1627,1167,61,13215
391,94,101,10,13217
392,112,112,8,13223
393,25,25,0,13225
394,52,52,6,13227
395,25,25,0,13233
396,55,49,6,13235
397,25,25,0,13237
398,25,25,0,13241
399,25,25,0,13243
400,2160,2524,209,13245
401,138,138,16,13247
402,25,25,0,13251
403,45,65,0,13253
404,160,160,22,13255
405,74,96,6,13257
406,54,76,0,13261
407,25,25,0,13267
408,226,264,35,13275
409,181,181,20,13277
410,52,57,8,13279
411,25,25,0,13281
412,276,276,20,13285
413,39,45,5,13291
414,87,115,28,13293
415,164,77,7,13297
416,134,231,10,13299
417,56,56,0,13303
418,88,88,12,13305
419,246,282,26,13313
420,25,25,0,13317
421,25,25,0,13321
423,296,531,24,15001
424,2716,2175,136,15003
425,102,197,9,15007
426,247,366,20,15009
517,1405,1209,88,16001
518,137,205,20,16005
519,21,21,0,16007
520,19,19,0,16009
521,131,145,5,16011
522,25,25,0,16013
523,25,25,4,16017
524,267,332,35,16019
525,20,20,0,16021
526,14,14,0,16023
527,282,346,41,16027
528,25,25,0,16029
529,31,25,6,16031
530,78,83,0,16035
531,21,25,0,16039
532,20,20,0,16041
533,13,16,0,16045
534,16,18,0,16047
535,40,41,0,16049
536,25,25,0,16053
537,401,403,55,16055
538,25,25,3,16057
539,18,18,0,16059
540,67,69,4,16065
541,16,25,0,16067
542,110,145,9,16069
543,11,11,0,16071
544,10,10,0,16077
545,21,25,0,16079
546,13,13,0,16081
547,186,224,30,16083
548,23,25,0,16085
549,19,25,0,16087
550,248,307,25,17001
551,32,42,0,17005
552,36,34,0,17007
553,69,94,9,17011
554,637,603,13,17019
555,47,47,0,17021
556,20,20,0,17025
557,46,70,0,17027
558,82,149,0,17029
559,18615,18128,1299,17031
560,25,63,0,17033
561,192,192,16,17037
562,15,25,0,17039
563,2083,2253,241,17043
564,25,25,0,17045
565,133,133,10,17049
566,29,110,4,17051
567,25,41,2,17053
568,16,16,0,17055
569,43,87,5,17057
570,25,25,0,17061
571,89,89,8,17063
572,25,25,0,17065
573,18,18,0,17067
574,25,25,0,17069
575,50,86,3,17073
576,25,25,0,17075
577,179,179,21,17077
578,171,181,22,17081
579,46,65,4,17083
580,18,25,0,17085
581,1114,890,65,17089
582,460,500,18,17091
583,177,254,18,17095
585,975,1158,108,17097
584,164,171,13,17099
586,25,25,0,17101
587,66,80,6,17103
588,42,42,5,17105
589,25,25,0,17107
596,45,60,7,17109
597,437,476,33,17111
598,343,370,30,17113
590,446,424,35,17115
591,50,50,0,17117
592,677,929,58,17119
593,107,149,9,17121
594,25,25,0,17125
595,25,25,0,17127
599,22,22,0,17131
600,50,50,0,17135
601,93,131,9,17137
602,17,16,4,17141
603,1122,1226,95,17143
604,42,42,0,17145
605,16,16,0,17147
606,25,35,0,17149
607,171,75,0,17157
608,47,134,8,17159
609,480,510,27,17161
610,556,736,42,17163
611,65,102,0,17165
612,1004,1012,83,17167
613,22,22,0,17169
614,30,30,0,17173
615,100,100,8,17177
616,132,132,8,17179
617,113,47,0,17181
618,179,198,12,17183
619,25,25,4,17185
620,23,23,0,17187
621,22,50,0,17189
622,25,55,4,17191
623,121,123,9,17195
624,850,923,73,17197
625,294,212,26,17199
626,932,936,90,17201
627,25,25,0,17203
628,25,0,4,18001
629,2176,0,134,18003
630,225,0,17,18005
631,15,0,0,18009
632,68,0,8,18011
633,165,0,5,18017
634,253,0,22,18019
635,25,0,0,18021
636,25,0,0,18023
637,42,0,5,18027
638,102,0,8,18029
639,25,0,0,18031
640,37,0,8,18033
641,368,0,36,18035
642,111,0,26,18037
643,338,0,35,18039
644,269,236,16,18043
645,25,0,4,18049
646,25,0,5,18051
647,347,0,19,18053
648,25,0,5,18055
649,1033,0,25,18057
650,73,0,24,18059
651,25,0,4,18061
652,266,0,28,18063
653,48,0,10,18065
654,250,0,21,18067
655,36,0,0,18069
656,91,0,7,18071
657,25,0,4,18073
658,25,0,0,18075
659,238,0,6,18077
660,25,0,0,18079
661,195,0,6,18081
662,99,0,30,18083
663,88,0,14,18085
665,25,0,0,18087
666,2067,0,181,18089
664,278,0,34,18091
667,50,0,6,18093
668,303,0,38,18095
669,4230,0,318,18097
670,157,0,7,18099
671,25,0,4,18103
672,357,0,24,18105
673,29,0,5,18107
674,199,0,0,18109
675,47,0,0,18113
676,24,0,0,18117
677,25,0,4,18123
678,340,0,32,18127
679,25,0,0,18131
680,25,0,6,18133
681,25,0,0,18135
682,25,0,7,18137
683,25,0,0,18139
686,1582,0,74,18141
684,25,0,4,18143
685,46,0,6,18145
687,15,0,1,18149
688,25,0,2,18151
689,25,0,4,18153
690,576,0,30,18157
691,25,0,0,18159
692,1053,0,127,18163
693,25,0,6,18165
694,494,0,54,18167
695,18,0,0,18169
696,16,0,0,18171
697,454,0,24,18173
698,25,0,0,18175
699,376,0,30,18177
700,62,0,7,18179
701,25,0,0,18181
702,30,0,0,18183
427,25,25,0,19001
428,22,22,0,19003
429,25,25,0,19005
430,25,45,3,19007
431,25,25,0,19009
432,25,25,0,19011
433,384,675,29,19013
434,25,42,0,19015
435,37,50,0,19017
436,85,120,0,19019
437,25,35,0,19021
438,25,25,2,19025
439,66,116,6,19027
440,25,33,4,19029
441,205,346,18,19033
442,61,83,0,19035
443,8,18,0,19037
444,25,25,0,19039
445,49,99,0,19041
446,40,50,0,19043
447,120,265,10,19045
448,25,25,0,19047
449,25,25,0,19049
450,25,25,0,19051
451,11,25,0,19053
452,25,25,0,19055
453,136,213,12,19057
454,44,49,0,19059
455,257,470,18,19061
456,22,25,0,19063
457,50,50,0,19065
458,25,25,0,19067
459,25,25,0,19069
460,25,25,0,19071
461,25,25,0,19073
462,25,80,0,19075
463,25,25,0,19077
464,25,25,0,19079
465,25,25,0,19081
466,19,35,0,19083
467,25,25,0,19085
468,25,74,0,19087
469,18,19,0,19089
470,17,49,0,19091
471,25,25,0,19093
472,25,25,0,19095
473,25,25,0,19097
474,48,68,0,19099
475,25,25,0,19101
476,1152,1383,18,19103
477,22,22,0,19105
478,25,25,0,19107
479,24,25,0,19109
480,99,121,3,19111
481,495,994,36,19113
482,25,25,0,19117
483,11,0,0,19119
484,25,25,0,19121
485,25,33,0,19123
486,50,50,3,19125
487,41,125,0,19127
488,25,25,0,19131
489,25,25,0,19133
490,25,25,0,19135
491,25,25,8,19137
492,45,48,5,19139
493,39,39,0,19141
494,25,25,0,19143
495,50,50,2,19145
496,24,47,0,19147
497,25,25,0,19149
498,25,25,0,19151
499,1869,1781,84,19153
500,255,514,29,19155
501,49,49,5,19157
502,16,16,0,19159
503,25,25,0,19161
504,496,641,39,19163
505,25,25,0,19165
506,94,96,0,19167
507,175,237,14,19169
508,25,25,4,19175
509,25,25,0,19177
510,88,217,11,19179
511,25,25,0,19183
512,25,25,0,19185
513,46,200,8,19187
514,25,25,0,19191
515,316,830,34,19193
516,47,47,0,19197
703,25,25,0,20001
704,12,12,0,20003
705,25,25,4,20005
706,32,35,0,20007
707,76,81,4,20009
708,25,25,0,20013
709,108,132,16,20015
710,17,25,0,20019
711,46,61,0,20021
712,16,16,0,20023
713,39,43,0,20025
714,17,25,0,20027
715,22,25,0,20029
716,25,25,0,20031
717,12,12,0,20033
718,53,74,4,20035
719,89,158,12,20037
720,21,24,0,20039
721,34,60,0,20041
722,110,148,10,20045
723,12,12,0,20047
724,149,194,34,20051
725,18,20,0,20053
726,90,100,8,20055
727,60,99,10,20057
728,44,44,5,20059
729,96,92,6,20061
730,21,21,0,20063
731,20,20,0,20065
732,26,26,0,20067
733,18,18,0,20071
734,25,25,0,20073
735,25,25,0,20075
736,25,0,0,20077
737,134,163,6,20079
738,13,13,0,20081
739,25,13,0,20083
740,12,25,0,20085
741,25,38,0,20087
742,24,25,0,20089
743,1519,1800,97,20091
744,25,25,0,20093
745,25,25,0,20095
746,15,15,0,20097
747,46,99,5,20099
748,25,25,0,20101
749,46,100,10,20103
750,10,14,0,20105
751,25,25,0,20109
752,21,25,6,20111
755,81,95,7,20113
753,25,25,0,20115
754,23,25,0,20117
756,20,20,0,20119
757,104,245,106,20121
758,16,35,4,20123
759,47,47,7,20125
760,25,25,0,20127
761,26,28,0,20129
762,41,49,0,20131
763,22,25,5,20133
764,37,32,0,20135
765,25,25,0,20137
766,24,25,0,20141
767,25,25,0,20143
768,121,638,0,20145
769,25,25,0,20147
770,43,97,0,20149
771,35,35,6,20151
772,15,24,0,20153
773,137,209,18,20155
774,25,63,0,20157
775,25,25,0,20159
776,99,163,8,20161
777,16,25,0,20163
778,16,16,0,20165
779,19,25,0,20167
780,191,392,18,20169
781,25,25,0,20171
782,2072,2661,147,20173
783,71,69,8,20175
784,748,1043,36,20177
785,18,18,0,20179
786,21,25,0,20181
787,16,25,0,20183
788,25,25,0,20185
789,16,18,0,20187
790,17,25,0,20189
791,25,0,0,20191
792,21,25,1,20193
793,25,25,0,20195
794,50,50,0,20201
795,25,0,0,20203
796,40,49,0,20205
797,1059,1316,129,20209
798,25,25,0,21003
799,108,180,10,21009
800,87,216,7,21013
801,166,201,18,21015
802,34,58,4,21017
803,574,645,50,21019
804,170,197,22,21021
805,49,55,4,21025
806,25,25,0,21027
807,25,25,0,21033
808,99,152,10,21035
809,156,278,21,21037
810,25,25,0,21041
811,24,24,0,21045
812,431,786,18,21047
813,54,54,8,21049
814,49,0,6,21051
815,38,42,0,21053
816,48,48,0,21055
817,25,25,0,21057
818,507,527,32,21059
819,25,25,0,21065
820,2440,2449,248,21067
821,52,52,3,21069
822,177,50,16,21071
823,116,173,10,21073
824,15,25,0,21081
825,95,107,8,21083
826,75,75,6,21085
827,25,35,0,21087
828,428,480,10,21093
829,81,150,7,21095
830,61,61,6,21097
831,25,25,0,21099
832,118,192,12,21101
833,445,410,19,21107
834,3730,4468,355,21111
835,72,72,6,21115
836,1217,639,46,21117
837,25,25,6,21121
838,106,150,14,21125
839,65,90,6,21127
840,25,25,0,21131
841,90,90,6,21133
842,25,25,0,21137
843,25,25,0,21139
844,75,75,6,21141
849,573,1081,34,21145
845,85,130,12,21151
846,63,75,6,21155
847,25,25,4,21157
848,100,100,5,21161
850,25,25,4,21167
851,49,49,0,21171
852,42,42,4,21173
853,25,25,0,21175
854,47,90,6,21177
855,40,40,4,21179
856,25,25,4,21183
857,90,120,8,21185
858,229,358,32,21193
859,356,413,76,21195
860,230,283,38,21199
861,20,20,0,21203
862,90,149,14,21205
863,25,25,2,21207
864,75,75,6,21209
865,30,70,4,21211
866,25,25,0,21213
867,90,90,8,21217
868,25,25,0,21221
869,25,25,0,21225
870,639,733,32,21227
871,25,25,0,21231
872,280,273,0,21235
873,25,25,0,21239
874,171,170,4,22001
875,74,109,3,22003
876,151,131,7,22005
877,15,15,0,22007
878,92,69,2,22009
879,80,20,6,22011
880,21,21,0,22013
881,267,272,18,22015
882,1853,2099,94,22017
883,802,905,75,22019
884,77,87,0,22021
885,49,49,0,22023
886,37,47,4,22027
887,65,65,5,22029
888,34,34,0,22031
889,2355,2297,99,22033
890,23,23,0,22035
891,636,633,0,22037
892,223,285,24,22039
893,29,37,6,22041
894,317,269,11,22045
895,10,0,0,22047
896,25,25,0,22049
897,2463,2141,157,22051
898,92,65,5,22053
900,1379,1224,74,22055
901,178,240,21,22057
899,55,81,0,22059
902,258,238,17,22061
903,25,25,0,22065
904,109,119,6,22067
905,102,117,8,22069
906,1428,2009,62,22071
907,806,622,88,22073
908,25,26,0,22077
909,1438,1425,26,22079
910,37,37,0,22081
911,63,63,2,22083
912,48,48,0,22085
913,40,40,8,22087
914,39,59,8,22089
915,25,25,0,22091
916,44,44,0,22093
921,82,82,0,22095
917,517,257,22,22097
918,43,43,0,22099
919,152,186,15,22101
920,1237,1138,207,22103
922,536,536,64,22105
923,344,567,26,22109
924,35,35,0,22111
925,69,95,6,22113
926,126,112,7,22115
927,61,117,13,22117
928,171,219,16,22119
929,30,30,0,22123
930,25,25,0,22125
931,46,60,5,22127
967,361,483,34,23001
968,166,228,12,23003
969,1215,1184,50,23005
970,48,65,5,23007
971,98,114,6,23009
972,297,335,16,23011
973,81,109,8,23013
974,25,25,4,23015
975,50,75,4,23017
976,581,773,51,23019
977,50,25,0,23021
978,50,50,4,23025
979,25,25,4,23027
980,50,50,0,23029
981,206,287,14,23031
946,288,319,14,24001
947,483,673,50,24003
948,1739,1969,94,24005
949,3735,3816,377,24005
950,41,74,4,24009
951,675,668,12,24013
952,182,82,5,24015
953,98,109,10,24017
954,122,132,0,24019
955,281,257,18,24021
956,27,27,2,24023
957,231,257,19,24025
958,267,267,16,24027
959,21,26,6,24029
960,1716,1439,143,24031
961,490,654,78,24033
962,96,109,12,24035
963,48,120,16,24041
964,340,362,17,24043
965,418,348,24,24045
966,32,45,6,24047
932,410,407,21,25001
933,245,323,24,25003
934,1492,1322,96,25005
935,25,25,0,25007
936,1732,1173,98,25009
937,89,89,6,25011
938,1620,1626,83,25013
939,118,140,11,25015
940,4474,3756,206,25017
941,19,19,0,25019
942,1219,1095,59,25021
943,853,435,47,25023
944,5844,5363,453,25025
945,3234,2507,119,25027
982,11,11,0,26003
983,25,25,0,26005
984,128,124,9,26007
985,25,25,5,26011
986,15,15,0,26013
987,25,49,6,26015
988,328,387,32,26017
989,8,8,0,26019
990,311,335,20,26021
991,87,71,10,26023
992,262,298,32,26025
993,25,25,0,26027
994,25,25,0,26029
995,49,82,6,26033
996,49,49,0,26035
997,59,25,2,26037
998,49,71,6,26039
999,25,25,9,26041
1000,56,49,6,26043
1001,45,45,0,26045
1002,187,202,18,26047
1003,1047,1151,109,26049
1004,25,25,0,26051
1005,25,25,5,26053
1006,409,425,20,26055
1007,49,67,0,26057
1008,44,65,4,26059
1009,61,61,5,26061
1010,98,98,4,26063
1011,925,966,115,26065
1012,25,0,2,26067
1013,47,47,4,26069
1014,25,25,3,26071
1015,83,118,8,26073
1016,469,389,34,26075
1017,904,806,70,26077
1018,8,8,0,26079
1019,2502,1717,142,26081
1020,183,183,10,26087
1021,113,113,9,26091
1022,142,177,8,26093
1023,25,25,0,26095
1024,15,15,0,26097
1025,1362,1101,122,26099
1026,45,45,0,26101
1027,263,289,26,26103
1028,45,49,6,26105
1029,49,69,4,26107
1030,324,324,26,26111
1031,153,217,14,26115
1032,109,126,12,26117
1033,362,413,44,26121
1034,25,25,9,26123
1035,4188,4383,369,26125
1036,24,24,0,26127
1037,88,88,0,26129
1038,25,25,0,26131
1039,25,25,4,26133
1040,46,46,4,26137
1041,325,327,22,26139
1042,1014,912,46,26145
1043,372,375,23,26147
1044,97,144,4,26149
1045,65,65,0,26151
1046,12,12,0,26153
1047,133,129,7,26155
1048,198,50,0,26157
1049,74,74,0,26159
1050,2176,1720,46,26161
1051,5387,5921,411,26163
1052,49,49,20,26165
1053,25,25,4,27001
1054,941,546,35,27003
1055,36,87,8,27005
1056,128,118,10,27007
1057,40,40,0,27011
1058,167,272,29,27013
1059,40,78,0,27015
1060,47,61,2,27017
1061,109,109,18,27019
1062,5,0,0,27021
1063,25,30,0,27023
1064,55,61,10,27025
1065,25,25,0,27029
1066,16,16,0,27031
1067,26,26,0,27033
1068,168,204,16,27035
1069,179,207,12,27037
1070,99,127,8,27041
1071,24,43,4,27043
1072,159,159,18,27047
1073,65,65,4,27049
1074,10,10,0,27051
1075,3717,5441,215,27053
1076,25,50,0,27057
1077,70,86,0,27059
1078,76,104,0,27061
1079,14,20,0,27063
1080,25,49,4,27065
1081,81,136,8,27067
1082,15,15,0,27069
1083,18,25,0,27071
1084,32,32,0,27073
1085,16,25,0,27075
1086,15,15,0,27077
1087,9,15,0,27079
1088,44,44,0,27081
1089,50,74,0,27083
1093,74,115,6,27085
1090,10,18,0,27087
1091,12,12,0,27089
1092,55,57,0,27091
1094,25,35,0,27093
1095,61,82,4,27095
1096,25,49,0,27097
1097,80,0,0,27099
1098,20,25,0,27101
1099,65,17,0,27103
1100,48,48,0,27105
1101,14,14,0,27107
1102,1986,2120,218,27109
1103,121,133,5,27111
1104,41,26,0,27113
1105,9,30,0,27115
1106,18,44,0,27117
1107,54,92,5,27119
1108,19,34,0,27121
1109,1461,1899,115,27123
1110,25,25,0,27127
1111,16,16,0,27129
1112,69,86,0,27131
1113,25,28,0,27133
1114,25,25,0,27135
1115,1195,1121,78,27137
1116,109,142,0,27139
1117,16,0,0,27141
1118,16,20,0,27143
1119,535,575,42,27145
1120,29,43,0,27147
1121,25,49,0,27149
1122,33,46,0,27151
1123,14,34,0,27153
1124,15,25,0,27155
1125,32,43,0,27157
1126,125,86,5,27159
1127,15,35,0,27161
1128,154,183,31,27163
1129,50,50,0,27165
1130,25,25,0,27167
1131,49,49,8,27169
1132,85,104,3,27171
1133,47,55,0,27173
1204,147,179,15,28001
1205,163,200,24,28003
1206,25,25,0,28007
1207,152,164,8,28011
1208,25,25,0,28013
1209,39,84,0,28017
1210,15,25,0,28019
1211,22,32,0,28021
1212,25,25,0,28023
1213,49,49,6,28025
1214,181,181,10,28027
1215,25,0,0,28029
1216,25,35,0,28031
1217,470,514,8,28033
1218,587,723,57,28035
1219,24,25,0,28037
1220,42,48,6,28039
1221,7,7,0,28041
1222,49,156,0,28043
1223,47,102,6,28045
1224,854,834,57,28047
1225,2237,1876,149,28049
1226,25,25,0,28051
1227,571,571,48,28059
1228,16,16,0,28061
1229,12,30,0,28063
1230,25,35,0,28065
1231,268,285,14,28067
1232,25,25,0,28069
1233,169,217,24,28071
1234,45,50,0,28073
1235,767,787,39,28075
1236,25,25,0,28077
1237,25,25,0,28079
1238,700,700,24,28081
1239,173,208,9,28083
1240,90,99,5,28085
1241,158,315,18,28087
1242,67,67,7,28089
1243,49,49,6,28091
1244,27,40,0,28093
1245,120,130,9,28095
1246,25,25,0,28097
1247,83,73,0,28099
1248,25,25,0,28103
1249,88,96,6,28105
1250,45,112,0,28107
1251,73,84,6,28109
1252,22,22,0,28111
1253,177,191,16,28113
1254,25,25,0,28115
1255,39,114,0,28117
1256,583,2030,18,28121
1257,50,60,0,28123
1258,19,29,0,28125
1259,69,99,0,28127
1260,19,29,0,28129
1261,25,25,0,28131
1262,126,84,0,28133
1263,9,18,0,28135
1264,25,25,0,28139
1265,48,48,0,28141
1266,92,153,8,28145
1267,25,25,0,28147
1268,336,396,22,28149
1269,541,364,22,28151
1270,49,80,6,28153
1271,38,38,0,28155
1272,16,25,0,28157
1273,14,41,0,28159
1274,26,26,0,28161
1275,25,25,0,28163
1134,51,93,10,29001
1135,16,18,0,29005
1136,40,88,0,29007
1137,43,43,0,29009
1138,25,25,4,29011
1139,44,60,0,29013
1140,1260,494,114,29019
1141,501,393,21,29021
1142,434,582,14,29023
1143,56,37,0,29027
1144,114,130,18,29029
1145,494,601,31,29031
1146,21,25,0,29033
1147,96,106,9,29037
1148,25,25,0,29039
1149,48,48,0,29043
1150,694,905,34,29047
1151,34,58,5,29049
1152,254,268,25,29051
1153,25,55,0,29065
1154,173,183,13,29071
1155,24,24,0,29073
